                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0673,                 2.4391,                 1.5485,                0.52893,                0.57253,                0.59718,                0.25817,                 1.9189,                 1.4786,                 1.6063,             0.00055217,             0.00055217,             0.00055217
                      1,                 1.9208,                 1.5601,                 1.5148,                0.68167,                0.58878,                0.61832,                0.25893,                 1.8938,                 1.8108,                  1.655,               0.001064,               0.001064,               0.001064
                      2,                 1.9038,                 1.4909,                 1.5229,                0.55719,                0.55935,                0.61152,                0.28162,                 1.9632,                 1.3624,                 1.6583,              0.0015318,              0.0015318,              0.0015318
                      3,                  1.843,                 1.3836,                 1.4832,                 0.5376,                0.60797,                 0.5444,                0.23328,                 2.1148,                 1.3673,                 1.7302,               0.001469,               0.001469,               0.001469
                      4,                 1.8134,                 1.3191,                 1.4847,                0.58025,                0.69653,                0.61059,                0.24565,                 1.9092,                 1.2163,                 1.6499,               0.001469,               0.001469,               0.001469
                      5,                 1.7762,                 1.2622,                 1.4455,                0.62295,                0.68215,                0.64857,                0.31462,                 1.9509,                 1.1936,                 1.6463,              0.0014029,              0.0014029,              0.0014029
                      6,                 1.6956,                  1.176,                  1.409,                0.64321,                0.77622,                 0.6731,                 0.2948,                 1.8866,                 1.1134,                 1.6123,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.6701,                 1.1183,                 1.3953,                0.72419,                0.68934,                0.72464,                0.33371,                 1.8496,                 1.0771,                 1.5902,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.6202,                  1.058,                 1.3527,                0.71727,                0.76958,                0.72976,                0.34812,                  1.815,                 1.0474,                 1.5593,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.5659,                 1.0196,                 1.3287,                0.64609,                0.78756,                0.68064,                0.32097,                 1.8014,                 1.0882,                  1.574,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.5186,                0.96683,                 1.3022,                0.67326,                0.70453,                0.71471,                0.35139,                 1.8406,                 1.0022,                 1.6027,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.4894,                0.93338,                 1.2912,                0.76003,                0.69867,                0.76638,                0.35255,                 1.7683,                0.96272,                 1.5365,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.4422,                0.89946,                 1.2571,                0.78741,                0.74379,                0.76903,                0.34845,                 1.7797,                0.95192,                 1.5597,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.4124,                0.86373,                 1.2514,                0.75912,                0.71707,                0.75252,                0.33451,                 1.8489,                0.97653,                 1.6132,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.3872,                 0.8364,                 1.2399,                0.66066,                0.84254,                0.79963,                0.39773,                  1.765,                  0.955,                 1.5465,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.3494,                0.79625,                 1.2833,                0.75967,                0.81028,                0.78802,                0.40332,                 1.7577,                0.90774,                 1.5564,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.3183,                0.76353,                 1.2702,                0.71254,                 0.7882,                0.76802,                0.38312,                 1.7492,                0.93475,                 1.5461,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.2742,                0.72017,                 1.2425,                0.76925,                0.73888,                0.75709,                0.39054,                 1.7798,                0.91319,                 1.5623,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.2393,                0.70102,                 1.2174,                0.76728,                0.80477,                0.78753,                0.39328,                 1.7618,                0.91289,                 1.5654,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.1908,                0.66369,                 1.1879,                0.72499,                 0.8347,                0.79234,                0.40828,                 1.7533,                 0.9235,                 1.5861,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.1382,                0.63087,                 1.1685,                0.74295,                0.82456,                0.76881,                0.39214,                 1.7482,                0.88889,                 1.5953,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.1334,                0.62163,                 1.1523,                0.80968,                0.75785,                 0.8115,                0.41599,                 1.8021,                0.92273,                  1.618,             0.00034674,             0.00034674,             0.00034674
                     22,                  1.093,                 0.6011,                 1.1376,                0.78631,                0.83649,                0.84485,                0.43031,                 1.7554,                 0.9092,                 1.5947,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.0464,                 0.5714,                 1.1101,                0.75816,                0.81994,                 0.8064,                0.41748,                 1.7363,                0.88001,                 1.5908,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.0127,                0.54538,                 1.0904,                0.77645,                0.80685,                0.81367,                0.41652,                 1.7629,                0.90167,                 1.6246,              0.0001487,              0.0001487,              0.0001487
